NAME                            READY   STATUS    RESTARTS   AGE   IP            NODE           NOMINATED NODE   READINESS GATES
signup-validation-job-0-tdcjp   1/1     Running   0          7s    10.244.1.20   minikube-m02   <none>           <none>
signup-validation-job-1-jmk97   0/1     Pending   0          7s    <none>        <none>         <none>           <none>
signup-validation-job-2-4mwf5   1/1     Running   0          7s    10.244.0.14   minikube       <none>           <none>
signup-validation-job-3-bnlsp   0/1     Pending   0          7s    <none>        <none>         <none>           <none>
signup-validation-job-2-4mwf5   0/1     Completed   0          31s   10.244.0.14   minikube       <none>           <none>
signup-validation-job-0-tdcjp   0/1     Completed   0          31s   10.244.1.20   minikube-m02   <none>           <none>
signup-validation-job-0-tdcjp   0/1     Completed   0          33s   10.244.1.20   minikube-m02   <none>           <none>
signup-validation-job-2-4mwf5   0/1     Completed   0          33s   10.244.0.14   minikube       <none>           <none>
signup-validation-job-3-bnlsp   0/1     Pending     0          33s   <none>        minikube       <none>           <none>
signup-validation-job-1-jmk97   0/1     Pending     0          33s   <none>        minikube-m02   <none>           <none>
signup-validation-job-1-jmk97   0/1     ContainerCreating   0          33s   <none>        minikube-m02   <none>           <none>
signup-validation-job-3-bnlsp   0/1     ContainerCreating   0          33s   <none>        minikube       <none>           <none>
signup-validation-job-3-bnlsp   1/1     Running             0          33s   10.244.0.15   minikube       <none>           <none>
signup-validation-job-4-h7tvb   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-1-jmk97   1/1     Running             0          33s   10.244.1.21   minikube-m02   <none>           <none>
signup-validation-job-5-dqh2c   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-4-h7tvb   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-5-dqh2c   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-2-4mwf5   0/1     Completed           0          33s   10.244.0.14   minikube       <none>           <none>
signup-validation-job-0-tdcjp   0/1     Completed           0          33s   10.244.1.20   minikube-m02   <none>           <none>
signup-validation-job-1-jmk97   0/1     Completed           0          64s   10.244.1.21   minikube-m02   <none>           <none>
signup-validation-job-3-bnlsp   0/1     Completed           0          64s   10.244.0.15   minikube       <none>           <none>
signup-validation-job-1-jmk97   0/1     Completed           0          65s   10.244.1.21   minikube-m02   <none>           <none>
signup-validation-job-4-h7tvb   0/1     Pending             0          32s   <none>        minikube-m02   <none>           <none>
signup-validation-job-4-h7tvb   0/1     ContainerCreating   0          32s   <none>        minikube-m02   <none>           <none>
signup-validation-job-3-bnlsp   0/1     Completed           0          65s   10.244.0.15   minikube       <none>           <none>
signup-validation-job-5-dqh2c   0/1     Pending             0          32s   <none>        minikube       <none>           <none>
signup-validation-job-5-dqh2c   0/1     ContainerCreating   0          32s   <none>        minikube       <none>           <none>
signup-validation-job-4-h7tvb   1/1     Running             0          33s   10.244.1.22   minikube-m02   <none>           <none>
signup-validation-job-6-dnfws   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-7-26947   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-6-dnfws   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-7-26947   0/1     Pending             0          0s    <none>        <none>         <none>           <none>
signup-validation-job-1-jmk97   0/1     Completed           0          66s   10.244.1.21   minikube-m02   <none>           <none>
signup-validation-job-3-bnlsp   0/1     Completed           0          66s   10.244.0.15   minikube       <none>           <none>
signup-validation-job-5-dqh2c   1/1     Running             0          33s   10.244.0.16   minikube       <none>           <none>
signup-validation-job-4-h7tvb   0/1     Completed           0          63s   10.244.1.22   minikube-m02   <none>           <none>
signup-validation-job-5-dqh2c   0/1     Completed           0          63s   10.244.0.16   minikube       <none>           <none>
signup-validation-job-4-h7tvb   0/1     Completed           0          64s   10.244.1.22   minikube-m02   <none>           <none>
signup-validation-job-6-dnfws   0/1     Pending             0          31s   <none>        minikube-m02   <none>           <none>
signup-validation-job-6-dnfws   0/1     ContainerCreating   0          31s   <none>        minikube-m02   <none>           <none>
signup-validation-job-5-dqh2c   0/1     Completed           0          64s   10.244.0.16   minikube       <none>           <none>
signup-validation-job-7-26947   0/1     Pending             0          31s   <none>        minikube       <none>           <none>
signup-validation-job-7-26947   0/1     ContainerCreating   0          31s   <none>        minikube       <none>           <none>
signup-validation-job-6-dnfws   1/1     Running             0          32s   10.244.1.23   minikube-m02   <none>           <none>
signup-validation-job-4-h7tvb   0/1     Completed           0          65s   10.244.1.22   minikube-m02   <none>           <none>
signup-validation-job-5-dqh2c   0/1     Completed           0          65s   10.244.0.16   minikube       <none>           <none>
signup-validation-job-7-26947   1/1     Running             0          32s   10.244.0.17   minikube       <none>           <none>
signup-validation-job-6-dnfws   0/1     Completed           0          62s   10.244.1.23   minikube-m02   <none>           <none>
signup-validation-job-7-26947   0/1     Completed           0          62s   10.244.0.17   minikube       <none>           <none>
signup-validation-job-6-dnfws   0/1     Completed           0          63s   10.244.1.23   minikube-m02   <none>           <none>
signup-validation-job-7-26947   0/1     Completed           0          63s   10.244.0.17   minikube       <none>           <none>
signup-validation-job-7-26947   0/1     Completed           0          64s   10.244.0.17   minikube       <none>           <none>
signup-validation-job-6-dnfws   0/1     Completed           0          64s   10.244.1.23   minikube-m02   <none>           <none>
